ID,Age
755, 8
538, 10
481, 8
761, 857
325, 264
58, 8
227, 9
8, 9
587, 8
443, 9
488, 211
672, 9
944, 10
614, 8
844, 734
258, 9
182, 339
635, 9
129, 2377
348, 9
909, 1961
41, 11
511, 8
413, 319
82, 12
987, 9
989, 9
588, 9
359, 9
457, 9
145, 32
670, 9
780, 9
547, 214
631, 9
736, 9
572, 8
855, 8
940, 8
779, 9
921, 9
496, 1160
169, 9
174, 9
903, 9
529, 13
170, 9
812, 490
86, 8
104, 9
53, 8
947, 1118
713, 9
794, 8
764, 9
23, 9
540, 8
231, 9
910, 9
915, 8
891, 9
738, 9
297, 619
341, 8
123, 8
610, 501
883, 9
240, 5303
459, 81
633, 2132
307, 8
379, 15
879, 9
822, 4
885, 9
667, 8
507, 13
309, 9
177, 8
115, 9
383, 8
537, 9
216, 4
715, 9
589, 9
817, 13
673, 9
961, 10
319, 733
292, 1734
723, 8
464, 9
856, 19
214, 9
22, 9
939, 11
485, 9
228, 8
308, 12
135, 32
255, 8
427, 8
720, 9
543, 9
371, 4876
469, 9
745, 8
659, 8
62, 8
929, 8
374, 9
99, 138
814, 10
332, 10
692, 9
509, 9
357, 4
181, 9
408, 9
753, 9
811, 10
896, 18
142, 9
997, 9
301, 9
971, 9
328, 2034
20, 8
90, 913
483, 21
338, 9
345, 10
256, 8
315, 8
737, 9
393, 1963
40, 9
657, 217
262, 9
791, 9
830, 9
232, 9
217, 8
397, 8
785, 9
480, 9
68, 19
497, 8
559, 32
726, 8
620, 13
237, 9
35, 9
213, 9
132, 8
402, 5790
669, 9
282, 9
653, 56
789, 28
857, 20
369, 10
698, 9
128, 8
140, 8
922, 10
550, 17
665, 9
447, 8
404, 10
918, 15
906, 3042
84, 10
637, 9
440, 8
13, 9
247, 9
693, 11
750, 9
65, 9
239, 9
976, 10
863, 314
645, 9
860, 723
796, 9
744, 9
490, 9
674, 9
527, 9
185, 9
593, 9
417, 11
708, 8
768, 830
834, 9
71, 8
39, 9
850, 4
471, 13
992, 10
500, 9
517, 8
442, 257
103, 9
320, 19
694, 9
16, 9
431, 9
763, 747
306, 9
828, 9
139, 8
15, 8
697, 8
250, 10
150, 9
192, 9
60, 9
594, 8
75, 9
24, 9
264, 9
565, 9
236, 9
298, 9
508, 8
218, 1
959, 9
916, 9
6, 9
79, 9
741, 10
678, 9
133, 9
545, 9
516, 1054
323, 315
448, 9
152, 9
731, 12
327, 8
574, 11
127, 9
623, 781
361, 9
985, 9
727, 9
950, 10
265, 12
868, 9
314, 10
221, 9
55, 11
917, 8
205, 9
840, 8
515, 4
108, 9
584, 285
334, 9
299, 8
870, 11
696, 10
411, 9
110, 8
324, 8
220, 1
29, 9
394, 1921
418, 9
293, 9
958, 9
137, 9
871, 9
300, 9
969, 10
380, 9
804, 66
400, 10
805, 4539
486, 9
175, 8
913, 13
809, 8
998, 10
634, 10
342, 8
424, 9
513, 8
158, 32
528, 9
691, 8
600, 1388
91, 9
968, 10
494, 9
784, 9
641, 9
386, 1103
787, 9
260, 8
767, 8
911, 8
795, 9
668, 8
881, 9
259, 335
981, 9
735, 8
996, 8
396, 9
34, 9
209, 7252
3, 9
598, 8
100, 9
7, 9
733, 9
294, 9
409, 8
972, 15
362, 9
243, 27
604, 329
524, 8
77, 9
825, 8
449, 365
367, 8
451, 13
196, 8
974, 518
248, 9
544, 10
122, 9
117, 8
934, 2187
106, 13
876, 6494
563, 9
17, 349
455, 8
310, 9
846, 9
317, 8
364, 9
460, 1
654, 10
771, 9
832, 9
375, 2
340, 9
925, 11
966, 126
816, 223
986, 10
56, 216
432, 11
864, 395
983, 10
562, 8
605, 8
395, 9
326, 8
783, 21
978, 10
884, 9
597, 1
880, 646
475, 817
704, 8
603, 9
933, 1494
399, 165
503, 1069
31, 14
705, 9
534, 9
280, 10
952, 11
360, 856
453, 8
505, 9
677, 8
975, 10
941, 1654
571, 626
382, 533
268, 9
888, 9
168, 9
702, 9
577, 10
206, 10
202, 4
622, 339
595, 103
193, 8
706, 9
467, 9
709, 8
470, 9
535, 8
539, 9
898, 10
660, 9
456, 9
867, 8
627, 8
663, 9
125, 9
176, 9
684, 987
1, 8
10, 10
171, 9
774, 8
758, 1582
558, 8
32, 552
26, 8
743, 232
612, 9
514, 11
19, 11
69, 11
854, 2871
586, 9
701, 9
707, 10
932, 9
722, 10
384, 9
655, 10
530, 9
862, 1041
234, 8
92, 8
435, 10
675, 9
935, 9
590, 68
542, 9
423, 1763
487, 9
629, 9
70, 1
765, 12
138, 9
61, 9
699, 9
960, 8
602, 9
180, 8
343, 8
525, 3307
808, 9
504, 8
982, 10
646, 12
14, 4702
823, 9
373, 8
886, 8
27, 8
664, 9
719, 9
112, 12
335, 8
740, 8
894, 14
391, 4
120, 9
831, 9
841, 11
990, 10
4, 9
403, 8
414, 8
522, 10
