ID,MementoCount,Age
768, 48, 830
213, 6, 9
763, 41, 747
664, 3, 9
663, 42, 9
764, 1, 9
765, 2, 12
137, 101, 9
40, 1, 9
90, 10, 913
494, 4, 9
139, 4, 8
41, 3, 11
490, 9, 9
24, 2, 9
693, 3, 11
20, 1, 8
694, 8, 9
698, 1, 9
699, 25, 9
300, 1, 9
29, 1, 9
758, 21709, 1582
542, 3, 9
345, 47, 10
403, 3, 8
4, 4, 9
544, 7, 10
334, 1, 9
933, 7952, 1494
280, 2, 10
812, 4, 490
814, 42, 10
571, 42, 626
409, 55, 8
408, 2, 9
997, 25, 9
761, 7, 857
7, 2, 9
992, 2, 10
675, 1, 9
715, 74, 9
670, 4, 9
998, 1, 10
672, 3, 9
120, 4, 9
125, 17, 9
127, 8, 9
128, 1, 8
129, 46, 2377
268, 8, 9
969, 1, 10
55, 5, 11
537, 1, 9
411, 8, 9
298, 25, 9
530, 7, 9
371, 141, 4876
297, 10, 619
294, 44, 9
292, 4512, 1734
293, 2, 9
8, 38, 9
319, 6, 733
982, 10, 10
983, 4, 10
706, 88, 9
707, 1, 10
317, 4, 8
701, 2, 9
314, 1, 10
115, 1, 9
112, 5, 12
82, 3, 12
142, 6, 9
399, 1, 165
496, 121, 1160
84, 1, 10
832, 1, 9
796, 1, 9
830, 1, 9
834, 3, 9
633, 141, 2132
525, 33, 3307
522, 1, 10
301, 1, 9
364, 9, 9
916, 2, 9
911, 1, 8
910, 1, 9
360, 6, 856
361, 2, 9
309, 4, 9
449, 3, 365
448, 3, 9
443, 22, 9
442, 1, 257
589, 3, 9
380, 1, 9
383, 1, 8
196, 40, 8
240, 5698, 5303
386, 99, 1103
921, 3, 9
696, 1, 10
100, 8, 9
106, 10, 13
844, 73, 734
780, 1, 9
841, 20, 11
783, 1, 21
32, 11, 552
31, 1, 14
909, 10144, 1961
789, 1, 28
35, 1, 9
645, 1, 9
646, 3, 12
511, 1, 8
435, 3, 10
432, 5, 11
514, 2, 11
516, 212, 1054
623, 12, 781
622, 1, 339
264, 1, 9
620, 14, 13
338, 1, 9
150, 1, 9
451, 1, 13
629, 6, 9
453, 1, 8
456, 23, 9
574, 6, 11
60, 4, 9
62, 50, 8
65, 1, 9
103, 8, 9
176, 5, 9
255, 1, 8
854, 54, 2871
976, 3, 10
856, 5, 19
974, 14, 518
972, 15, 15
971, 1, 9
543, 20, 9
978, 8, 10
182, 1, 339
704, 42, 8
654, 1, 10
6, 2, 9
738, 3, 9
504, 3, 8
505, 4, 9
503, 93, 1069
402, 810, 5790
610, 5, 501
631, 1, 9
981, 1, 9
469, 4, 9
635, 8, 9
637, 11, 9
464, 2, 9
467, 5, 9
185, 2, 9
565, 1, 9
987, 2, 9
787, 1, 9
168, 6, 9
169, 3, 9
507, 2, 13
91, 1, 9
906, 37, 3042
13, 9, 9
15, 3, 8
14, 6, 4702
19, 1, 11
860, 14, 723
862, 15, 1041
864, 4, 395
727, 3, 9
722, 1, 10
332, 7, 10
817, 1, 13
828, 2, 9
741, 3, 10
880, 222, 646
600, 99, 1388
885, 2, 9
884, 2, 9
158, 3, 32
888, 3, 9
550, 2, 17
750, 2, 9
634, 1, 10
237, 1, 9
657, 7, 217
959, 1, 9
958, 55, 9
879, 2, 9
876, 3629, 6494
950, 4, 10
952, 22, 11
870, 14, 11
231, 3, 9
471, 7, 13
325, 1, 264
934, 210, 2187
328, 26, 2034
774, 50, 8
996, 7, 8
563, 1, 9
771, 12, 9
209, 26229, 7252
713, 1, 9
310, 8, 9
394, 1, 1921
77, 4, 9
75, 1, 9
488, 1, 211
487, 5, 9
947, 2, 1118
944, 4, 10
941, 3, 1654
470, 1, 9
808, 17, 9
475, 29, 817
684, 76, 987
805, 165, 4539
